,Team,City,Country,Stadium,Capacity,Pitch
88,Blackburn Rovers,Blackburn,England,Ewood Park,31367,Natural
89,Sheffield United,Sheffield,England,Bramall Lane,32702,Natural
90,Ipswich Town,Ipswich,England,Portman Road Stadium,30311,Natural
91,Sunderland,Sunderland,England,Stadium of Light,49000,Natural
92,Watford,Watford,England,Vicarage Road Stadium,19920,Natural
93,Newcastle,Newcastle upon Tyne,England,St. James' Park,52389,Natural
94,Port Vale,Stoke-on-Trent,England,Vale Park,19052,Natural
95,AFC Bournemouth,Bournemouth,England,Vitality Stadium,12000,Natural
96,Leeds United,Leeds,England,Elland Road,40204,Natural
97,Plymouth Argyle,Plymouth,England,Home Park,19500,Natural
98,Middlesbrough,Middlesbrough,England,Riverside Stadium,34988,Natural
99,Brighton Hove Alb.,Brighton,England,The American Express Community Stadium,30750,Natural
100,Barnsley,Barnsley,England,Oakwell Stadium,23009,Natural
101,Stoke City,Stoke-on-Trent,England,bet365 Stadium,28383,Natural
102,Oldham Athletic,Oldham,England,Boundary Park,13512,
103,Leicester,Leicester,England,King Power Stadium,32500,Natural
104,Bradford City,Bradford,England,Coral Windows Stadium,25136,Natural
105,Hull City,Kingston upon Hull,England,Kingston Communications Stadium,25504,Natural
106,Portsmouth,Portsmouth,England,Fratton Park,20821,Natural
107,Wolves,Wolverhampton,England,Molineux Stadium,29195,Natural
108,Swindon Town,Swindon,England,County Ground,15728,Natural
109,Oxford United,Oxford,England,The Kassam Stadium,12500,Natural
110,West Bromwich Alb.,West Bromwich,England,The Hawthorns,28003,Natural
111,Bristol City,Bristol,England,Ashton Gate Stadium,21497,Natural
112,Sheffield,Sheffield,England,Hillsborough Stadium,39814,Natural
113,Notts County,Nottingham,England,Meadow Lane Stadium,19588,Natural
114,Millwall,Londres,England,The Den,20146,Natural
115,Bristol Rovers,Bristol,England,Memorial Stadium,11916,Natural
116,Charlton Athletic,Londres,England,The Valley,27111,Natural
117,Cambridge United,Cambridge,England,The R Costings Abbey Stadium,10847,Natural
118,Tranmere Rovers,Wirral,England,Prenton Park,16587,Natural
119,Derby County,Derby,England,iPro Stadium,33597,Natural
120,Grimsby Town,Grimsby,England,Blundell Park,9546,Grass
121,Southend United,Southend-on-Sea,England,Roots Hall Stadium,12392,Natural
122,Birmingham City,Birmingham,England,St. Andrew's Stadium,30009,Natural
123,Peterborough,Peterborough,England,London Road Stadium,15142,Natural
124,Brentford,Brentford,England,Griffin Park,12763,Natural
125,Luton Town,Luton,England,Kenilworth Road Stadium,"10,356",Grass
126,Crystal Palace,Londres,England,Selhurst Park,26309,Natural
127,Nottingham Forest,Nottingham,England,The City Ground,30576,Natural
128,Bolton Wanderers,Bolton,England,Reebok Stadium,28723,Natural
129,Oxford City,Oxford,England,Court Place Farm,2000,Natural
130,Reading,Reading,England,Madejski Stadium,24200,Natural
131,Burnley,Burnley,England,Turf Moor,22546,Natural
132,Norwich City,Norwich,England,Carrow Road,27033,Natural
133,Huddersfield Town,Huddersfield,England,The John Smith's Stadium,24554,Natural
134,Queens Park Range.,Londres,England,Loftus Road,19100,Natural
135,Man. City,Mánchester,England,Etihad Stadium,55097,Natural
136,Crewe Alexandra,Crewe,England,Alexandra Stadium,10153,Natural
137,Bury,Greater Manchester,England,,12500,
138,Stockport County,Cheshire,England,Edgeley Park,10852,Natural
139,Fulham,Londres,England,Craven Cottage,25700,Natural
140,Walsall,Walsall,England,The Banks's Stadium,11300,Natural
141,Preston North End,Preston,England,Deepdale Stadium,23408,Natural
142,Wimbledon FC,London,England,,"15,876",Grass
143,Gillingham,Gillingham,England,KRBS Priestfield Stadium,11582,Natural
144,Coventry City,Coventry,England,City of Coventry Stadium,32609,Natural
145,Rotherham United,Rotherham,England,New York Stadium,12021,Natural
146,Cardiff City,Cardiff,England,Cardiff City Stadium,28016,Natural
147,Wigan Athletic,Wigan,England,The DW Stadium,25138,Natural
148,Swansea City,Swansea,England,Liberty Stadium,20769,Natural
149,Wycombe Wanderers,Wycombe,England,Adams Park,10000,Natural
150,MVV Maastricht,Maastricht,Netherlands,Stadion De Geusselt,10000,Natural
151,FC Eindhoven,Eindhoven,Netherlands,Jan Louwers Stadion,5400,Natural
152,Emmen,Emmen,Netherlands,Univé Stadion,8600,Natural
153,Go Ahead Eagles,Deventer,Netherlands,De Adelaarshorst,10000,Natural
154,TOP Oss,Oss,Netherlands,Frans Heesen Stadion,4700,Natural
155,Dordrecht,Dordrecht,Netherlands,GN Bouw Stadion,4088,Césped Artificial
156,BV Veendam ,Veendam,Netherlands,,"6,500",
157,Heracles,Almelo,Netherlands,Polman Stadion,8500,Césped Artificial
158,ADO Den Haag,La Haya,Netherlands,Kyocera Stadion,15000,Natural
159,Cambuur,Leeuwarden,Netherlands,Cambuurstadion,10000,Natural
160,VVV Venlo,Venlo,Netherlands,Seacon Stadion De Koel,8000,Natural
161,SC Telstar,Velsen,Netherlands,TATA Steel Stadion,3625,Natural
162,Helmond Sport,Helmond,Netherlands,Lavans Stadion,4142,Natural
163,HFC Haarlem ,Haarlem,Netherlands,,"3,442",grass
164,Den Bosch,Hertogenbosch,Netherlands,BrainWash Stadion De Vliert,9000,Natural
165,RBC Roosendaal,Roosendaal,Netherlands,,4664,
166,PEC Zwolle,Zwolle,Netherlands,IJsseldelta Stadion,12500,Césped Artificial
167,Excelsior,Rótterdam,Netherlands,Stadion Woudestein,3541,Césped Artificial
168,AZ Alkmaar,Alkmaar,Netherlands,AFAS Stadion,17023,Natural
169,Groningen,Groninga,Netherlands,Euroborg,22579,Natural
170,FC Volendam,Volendam,Netherlands,Kras Stadion,6984,Natural
171,NAC Breda,Breda,Netherlands,Rat Verlegh Stadion,19000,Natural
172,Fortuna Sittard,Sittard,Netherlands,Offermans Joosten stadion,12500,Natural
173,Sparta Rotterdam,Rótterdam,Netherlands,Sparta-Stadion Het Kasteel,11026,Natural
174,AGOVV Apeldoorn,Apeldoorn,Netherlands,,3259,
175,De Graafschap,Doetinchem,Netherlands,Stadion De Vijverberg,12600,Natural
176,FC Omniworld,Almere,Netherlands,,"4,501",Grass
177,RKC Waalwijk,Waalwijk,Netherlands,Mandemakers Stadion,7508,Natural
178,Almere City,Almere,Netherlands,Mitsubishi Forklift-Stadion,2500,Césped Artificial
179,Willem II,Tilburgo,Netherlands,Koning Willem II Stadion,14637,Natural
180,Jong Twente,Enschede,Netherlands,,"30,205",Grass
181,Jong Ajax,Amsterdam,Netherlands,Sportpark De Toekomst,5000,Natural
182,Achilles 29,Groesbeek,Netherlands,Sportpark De Heikant,4500,Natural
183,Jong PSV,Eindhoven,Netherlands,Sportcomplex De Herdgang,2500,Natural
184,Jong AZ,Alkmaar,Netherlands,,1000,
185,Roda JC,Kerkrade,Netherlands,Parkstad Limburg Stadion,19979,Natural
186,NEC Nijmegen,Nijmegen,Netherlands,Goffertstadion,12500,Natural
187,Jong Utrecht,Utrecht,Netherlands,,450,
188,Ajax,Ámsterdam,Netherlands,Johan Cruyff Arena,53052,Natural
189,Utrecht,Utrecht,Netherlands,Stadion Galgenwaard,24426,Natural
190,Twente 1965,Enschede,Netherlands,De Grolsch Veste,30014,Natural
191,PSV,Eindhoven,Netherlands,Philips Stadion,35119,Natural
192,Vitesse,Arnhem,Netherlands,GelreDome,28278,Natural
193,Feyenoord,Rótterdam,Netherlands,Stadion Feijenoord,51777,Natural
194,SVV,Schiedam,Netherlands,Stadion Harga,4000,
195,Heerenveen,Heerenveen,Netherlands,Abe Lenstra Stadion,26800,Natural
196,Olympique,Marseille,France,Stade Vélodrome,67394,Natural
197,Montpellier,Montpellier,France,Stade de la Mosson,32950,Natural
198,Toulouse,Toulouse,France,Stadium Municipal,35472,Natural
199,Sporting Toulon,Toulon,France,Stade de Bon-Rencontre,8000,
200,Nantes,Nantes,France,Stade de la Beaujoire - Louis Fonteneau,38285,Natural
201,Lille,Lille,France,Stade Pierre-Mauroy,49834,Natural
202,Sochaux,Sochaux,France,Stade Auguste-Bonal,20005,Natural
203,PSG,Paris,France,Parc des Princes,49691,Natural
204,Nice,Nice,France,Allianz Riviera,35624,Natural
205,Girondins Bordeaux,Bordeaux,France,Stade Matmut-Atlantique,42115,Natural
206,Metz,Metz,France,Stade Saint-Symphorien,26661,Natural
207,Monaco,Principado de Mónaco,France,Louis II,18521,Natural
208,Racing Paris,París,France,,"14,000",Grass
209,Auxerre,Auxerre,France,Stade de l'Abbé Deschamps,23467,Natural
210,Caen,Caen,France,Stade Michel d'Ornano,21215,Natural
211,Stade Brestois,26 route de Quimper29200 Brest,France,Stade Francis-Le Blé,15931,Natural
212,Saint-Étienne,Saint-Étienne,France,Stade Geoffroy-Guichard,42000,Natural
213,Cannes,Cannes,France,Stade Pierre de Coubertin,12800,
214,Olympique Lyonnais,Lyon,France,Parc Olympique Lyonnais,59168,Natural
215,FC Mulhouse,Mulhouse,France,Stade de l'Ill,11303,Grass
216,Stade Rennais,Rennes,France,Roazhon Park,31127,Natural
217,Nancy,Tomblaine,France,Stade Marcel Picot,20087,Césped Artificial
218,Le Havre,Havre,France,Stade Océane,25178,Natural
219,Nîmes,Nimes,France,Stade des Costières,18482,Natural
220,Lens,Lens,France,Stade Bollaert-Delelis,38223,Natural
221,Strasbourg,Strasbourg,France,Stade de la Meinau,29230,Natural
222,Valenciennes,Valenciennes,France,Stade du Hainaut,24926,Natural
223,FC Martigues,Martigues,France,Stade Francis Turcan,11500,grass
224,Angers SCO,Angers,France,Stade Raymond-Kopa,17835,AirFibr 
225,Bastia,Bastia,France,Stade Armand Césari,16078,Natural
226,Guingamp,Guingamp,France,Stade du Roudourou,18363,Natural
227,FC Gueugnon,Gueugnon,France,Stade Jean Laville,13872,grass
228,Chateauroux,Châteauroux,France,Stade Gaston Petit,17072,Césped Artificial
229,Lorient,Lorient,France,Stade Yves Allainmat - Le Moustoir,18970,Césped Artificial
230,Troyes,Troyes,France,Stade de l'Aube,20842,Natural
231,Sedan,Sedán,France,Louis-Dugauguez,24000,
232,Ajaccio,Ajaccio,France,Stade François Coty,10660,Natural
233,Le Mans,Mulsanne,France,MMArena,25064,Natural
234,Istres,Istres,France,Stade Parsemain,17363,Natural
235,Grenoble,Grenoble,France,Des Alpes,20068,Natural
236,Boulogne,Boulogne-sur-Mer,France,Stade de la Libération,15242,Natural
237,Arles,Arles,France,,17500,
238,Evian Thonon Gail.,Annecy,France,Parc des Sports,15660,Natural
239,Dijon FCO,Dijon,France,Stade Gaston Gérard,15995,Natural
240,Stade de Reims,Reims,France,Auguste-Delaune II,21628,Natural
241,Gazélec Ajaccio,Ajaccio,France,Stade Municipal Ange Casanova Stiletto,4229,Natural
